,2018-04-12,2018-04-11,2018-04-10,2018-04-09,2018-04-04,2018-04-03,2018-04-02,2018-03-30,2018-03-29,2018-03-28,2018-03-27,2018-03-26,2018-03-23,2018-03-22,2018-03-21,2018-03-20,2018-03-19,2018-03-16,2018-03-15,2018-03-14
600939.XSHG,11376915000.0,11558365000.0,11286190000.0,11177320000.0,11068450000.0,11068450000.0,11231755000.0,11340625000.0,11376915000.0,11141030000.0,11231755000.0,11050305000.0,10959580000.0,11830540000.0,11939410000.0,11957555000.0,11975700000.0,12011990000.0,11993845000.0,12139005000.0
002436.XSHE,7632965496.0,7692481796.0,7692481796.0,7766877171.0,7826393471.0,7990063296.0,8123974972.0,8064458672.0,7826393471.0,7737119021.0,7915667921.0,7766877171.0,7513932895.0,7737119021.0,7811514396.0,7707360871.0,7737119021.0,7766877171.0,7707360871.0,7856151621.0
601588.XSHG,14074143600.0,14276164800.0,14141484000.0,14006803200.0,14175154200.0,14242494600.0,14511856200.0,14646537000.0,14781217800.0,14309835000.0,14579196600.0,14511856200.0,14309835000.0,15016909200.0,14882228400.0,14983239000.0,15218930400.0,15589302600.0,15420951600.0,15521962200.0
600796.XSHG,1998296215.0,2037478493.0,2046520558.0,2049534579.0,2013366322.0,1974184043.0,2004324258.0,2004324258.0,1992268172.0,1965141979.0,1998296215.0,1925959700.0,1977198065.0,2055562622.0,2007338279.0,2019394365.0,1983226108.0,1983226108.0,1931987743.0,1953085893.0
002669.XSHE,5926869554.0,5781467380.0,5829934771.0,5908405786.0,5809163032.0,5606061583.0,5299101439.0,5116771729.0,5093692019.0,5132927526.0,4962137672.0,4853663034.0,4777499991.0,4772884049.0,4855971005.0,4862894918.0,4939057961.0,5031376802.0,5151391294.0,5239094193.0
002122.XSHE,10086120000.0,10086120000.0,10086120000.0,10086120000.0,10086120000.0,10086120000.0,10086120000.0,10086120000.0,10086120000.0,10086120000.0,10086120000.0,10086120000.0,10086120000.0,10086120000.0,10086120000.0,10086120000.0,10086120000.0,10086120000.0,10086120000.0,10086120000.0
300585.XSHE,2691200000.0,2764800000.0,2710400000.0,2689600000.0,2625600000.0,2612800000.0,2724800000.0,2588800000.0,2508800000.0,2462400000.0,2460800000.0,2384000000.0,2376000000.0,2640000000.0,2718400000.0,2772800000.0,2825600000.0,2756800000.0,2712000000.0,2704000000.0
603499.XSHG,2903000000.0,3053000000.0,3117000000.0,3026000000.0,2909000000.0,2904000000.0,2830000000.0,2898000000.0,2844000000.0,2800000000.0,2821000000.0,2691000000.0,2614000000.0,2897000000.0,2728000000.0,2678000000.0,2670000000.0,2525000000.0,2585000000.0,2871000000.0
000059.XSHE,14378988408.0,14538932661.0,14474954960.0,14554927087.0,14442966109.0,14219044154.0,14426971684.0,14458960534.0,14474954960.0,14235038579.0,14554927087.0,14426971684.0,14442966109.0,15274676228.0,15258681803.0,15290670654.0,15210698527.0,15146720825.0,15402631631.0,15546581460.0
600169.XSHG,7614946350.0,7691865000.0,7691865000.0,7589306800.0,7614946350.0,7614946350.0,7717504550.0,7691865000.0,7691865000.0,7589306800.0,7640585900.0,7538027700.0,7435469500.0,7922620950.0,7845702300.0,7871341850.0,7820062750.0,7871341850.0,7948260500.0,8025179150.0
601118.XSHG,26018921006.0,25377006836.0,24777886945.0,27516720735.0,27088777955.0,26575246619.0,26446863785.0,26618040897.0,25505389670.0,25248624002.0,24563915555.0,23836412829.0,23579647161.0,24050384219.0,23879207107.0,23622441439.0,23237292938.0,25034652612.0,25377006836.0,25847743894.0
603843.XSHG,4952037140.0,4952037140.0,4952037140.0,4952037140.0,4952037140.0,4952037140.0,4952037140.0,4952037140.0,4952037140.0,4952037140.0,4952037140.0,4952037140.0,4952037140.0,4952037140.0,4952037140.0,4952037140.0,4952037140.0,4952037140.0,4952037140.0,4952037140.0
600581.XSHG,9710908006.0,9848868815.0,9825875347.0,9366005986.0,9266367624.0,9519295773.0,9979165134.0,10040481049.0,10124790431.0,9457979858.0,9603605156.0,9496302305.0,9695579028.0,10768607537.0,11121174047.0,11343444238.0,11259134855.0,11757326663.0,11604036876.0,11604036876.0
600871.XSHG,38728053667.0,38728053667.0,38158523466.0,37968680066.0,38158523466.0,38348366867.0,38728053667.0,38538210267.0,40436644270.0,42524921674.0,42524921674.0,41955391473.0,42145234873.0,44043668877.0,43853825476.0,44043668877.0,43094451875.0,43284295275.0,43663982076.0,43853825476.0
