order_book_id,abbrev_symbol,board_type,de_listed_date,exchange,industry_code,industry_name,listed_date,round_lot,sector_code,sector_code_name,special_type,status,symbol,type
000553.XSHE,SLDA,MainBoard,0000-00-00,XSHE,C26,化学原料及化学制品制造业,1993-12-03,100.0,Materials,原材料,Normal,Active,沙隆达A,CS
000554.XSHE,TSSY,MainBoard,0000-00-00,XSHE,F51,批发业,1993-12-15,100.0,Energy,能源,Normal,Active,泰山石油,CS
000555.XSHE,SZXX,MainBoard,0000-00-00,XSHE,I65,软件和信息技术服务业,1994-04-08,100.0,InformationTechnology,信息技术,Normal,Active,神州信息,CS
000557.XSHE,XBCY,MainBoard,0000-00-00,XSHE,G53,铁路运输业,1994-06-17,100.0,Industrials,工业,Normal,Active,西部创业,CS
000558.XSHE,LYTY,MainBoard,0000-00-00,XSHE,K70,房地产业,1994-05-09,100.0,Financials,金融,Normal,Active,莱茵体育,CS
000559.XSHE,WXQC,MainBoard,0000-00-00,XSHE,C36,汽车制造业,1994-01-10,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,万向钱潮,CS
000560.XSHE,KBDA,MainBoard,0000-00-00,XSHE,F52,零售业,1994-02-02,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,昆百大A,CS
000561.XSHE,FHDZ,MainBoard,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,1994-05-09,100.0,InformationTechnology,信息技术,Normal,Active,烽火电子,CS
000563.XSHE,SGTA,MainBoard,0000-00-00,XSHE,J69,其他金融业,1994-01-10,100.0,Financials,金融,Normal,Active,陕国投A,CS
000564.XSHE,GXDJ,MainBoard,0000-00-00,XSHE,F52,零售业,1994-01-10,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,供销大集,CS
000565.XSHE,YSXA,MainBoard,0000-00-00,XSHE,C26,化学原料及化学制品制造业,1994-04-08,100.0,Materials,原材料,Normal,Active,渝三峡A,CS
000566.XSHE,HNHY,MainBoard,0000-00-00,XSHE,C27,医药制造业,1994-05-25,100.0,HealthCare,医疗保健,Normal,Active,海南海药,CS
000567.XSHE,HDGF,MainBoard,0000-00-00,XSHE,J69,其他金融业,1994-05-25,100.0,Financials,金融,Normal,Active,海德股份,CS
000568.XSHE,LZLJ,MainBoard,0000-00-00,XSHE,C15,酒、饮料和精制茶制造业,1994-05-09,100.0,ConsumerStaples,必需消费品,Normal,Active,泸州老窖,CS
000570.XSHE,SCCA,MainBoard,0000-00-00,XSHE,C34,通用设备制造业,1994-07-01,100.0,Industrials,工业,Normal,Active,苏常柴A,CS
000571.XSHE,XDZA,MainBoard,0000-00-00,XSHE,S90,综合,1994-05-25,100.0,Energy,能源,Normal,Active,新大洲A,CS
000572.XSHE,HMQC,MainBoard,0000-00-00,XSHE,C36,汽车制造业,1994-08-08,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,海马汽车,CS
000573.XSHE,YHYA,MainBoard,0000-00-00,XSHE,K70,房地产业,1994-08-15,100.0,Financials,金融,Normal,Active,粤宏远A,CS
000576.XSHE,GDGH,MainBoard,0000-00-00,XSHE,C22,造纸及纸制品业,1994-09-07,100.0,Materials,原材料,Normal,Active,广东甘化,CS
000581.XSHE,WFGK,MainBoard,0000-00-00,XSHE,C36,汽车制造业,1998-09-24,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,威孚高科,CS
000582.XSHE,BBWG,MainBoard,0000-00-00,XSHE,G55,水上运输业,1995-11-02,100.0,Industrials,工业,Normal,Active,北部湾港,CS
000584.XSHE,HGZN,MainBoard,0000-00-00,XSHE,C28,化学纤维制造业,1995-11-28,100.0,Materials,原材料,Normal,Active,哈工智能,CS
000585.XSHE,*STDD,MainBoard,0000-00-00,XSHE,C38,电气机械和器材制造业,1995-12-13,100.0,Industrials,工业,StarST,Active,*ST东电,CS
000586.XSHE,HYTX,MainBoard,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,1995-12-20,100.0,InformationTechnology,信息技术,Normal,Active,汇源通信,CS
