datetime,order_book_id,symbol,side,last_quantity,last_price,transaction_cost
2012-07-31 14:50:00,600270.XSHG,外运发展,SELL,100,6.23,5.62
2012-08-02 14:50:00,000926.XSHE,福星股份,BUY,100,7.21,5.00
2012-08-02 14:50:00,600270.XSHG,外运发展,SELL,100,6.40,5.64
2012-08-03 14:50:00,600987.XSHG,航民股份,SELL,100,5.44,5.54
2012-08-09 14:50:00,000089.XSHE,深圳机场,BUY,100,4.08,5.00
2012-08-13 14:50:00,600987.XSHG,航民股份,SELL,4600,5.73,32.69
2012-08-13 14:50:00,000926.XSHE,福星股份,BUY,1100,7.48,5.00
2012-08-13 14:50:00,000089.XSHE,深圳机场,BUY,2100,4.01,5.00
2012-08-14 14:50:00,600539.XSHG,狮头股份,BUY,3700,4.00,5.00
2012-08-14 14:50:00,000926.XSHE,福星股份,SELL,1000,7.51,12.51
2012-08-14 14:50:00,000089.XSHE,深圳机场,SELL,2000,3.97,12.94
2012-08-15 14:50:00,600539.XSHG,狮头股份,SELL,2500,3.94,14.85
2012-08-15 14:50:00,000926.XSHE,福星股份,BUY,1000,7.57,5.00
2012-08-15 14:50:00,600270.XSHG,外运发展,BUY,1200,6.62,5.00
2012-08-15 14:50:00,000089.XSHE,深圳机场,BUY,2100,3.99,5.00
2012-08-16 14:50:00,600539.XSHG,狮头股份,BUY,200,4.02,5.00
2012-08-16 14:50:00,000594.XSHE,国恒退,BUY,200,2.38,5.00
2012-08-16 14:50:00,000926.XSHE,福星股份,SELL,900,7.51,11.76
2012-08-16 14:50:00,600270.XSHG,外运发展,SELL,1200,6.53,12.83
2012-08-16 14:50:00,000089.XSHE,深圳机场,SELL,100,3.95,5.40
2012-08-17 14:50:00,600539.XSHG,狮头股份,SELL,1400,4.07,10.70
2012-08-17 14:50:00,000594.XSHE,国恒退,BUY,8700,2.39,5.00
2012-08-17 14:50:00,000926.XSHE,福星股份,SELL,200,7.53,6.51
2012-08-17 14:50:00,000089.XSHE,深圳机场,SELL,2000,3.97,12.94
2012-08-20 14:50:00,000594.XSHE,国恒退,BUY,600,2.37,5.00
2012-08-20 14:50:00,000089.XSHE,深圳机场,SELL,100,3.97,5.40
2012-08-21 14:50:00,000594.XSHE,国恒退,BUY,1200,2.39,5.00
2012-08-22 14:50:00,000594.XSHE,国恒退,BUY,100,2.35,5.00
2012-08-23 14:50:00,000594.XSHE,国恒退,BUY,100,2.35,5.00
2012-08-24 14:50:00,000594.XSHE,国恒退,BUY,300,2.24,5.00
2012-08-24 14:50:00,600270.XSHG,外运发展,SELL,100,6.67,5.67
2012-08-27 14:50:00,000594.XSHE,国恒退,BUY,200,2.16,5.00
2012-08-28 14:50:00,601799.XSHG,星宇股份,BUY,200,10.33,5.00
2012-08-28 14:50:00,000594.XSHE,国恒退,SELL,2200,2.15,9.73
2012-08-28 14:50:00,000926.XSHE,福星股份,SELL,700,7.25,10.08
